text,true_emotion,predicted_emotion
@hollywooddivas @TMZ_Sports Idiots like Larry Sanders scare us All!How can Morons these days Rush 2 Judge #Police w/o all facts yet?FU thugs,fear,anger
@RyanAbe awe yay thank god I was so worried.,fear,joy
Nothing worse than an uber driver that can't drive. #awful,fear,anger
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,fear,fear
Nothing worse than an uber driver that can't drive. ,fear,anger
Not the best horror ever but I like that the uncertainty,fear,joy
"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people?  #recluse #issues",fear,sadness
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation #awful,fear,anger
@Evan_McMullin @TheBlazeRadio Classic SHITLIB bullshit. Create a horrible problem and then 'discuss' how to solve it. What a PIMP.,fear,anger
"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.",fear,anger
Tweeting from the sporadic wifi on the tube #perilous,fear,fear
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points ,fear,anger
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,fear,joy
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,sadness
Bout ta get my @dontbreathe on up in here! @WarrenTheaters  #icantholdmybreaththatlong,fear,joy
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,fear,anger
Another fun fact: i am afraid,fear,fear
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},fear,joy
"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA",fear,anger
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,joy
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
@harrietemmett great minds think alike. #rejoice,joy,joy
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
@tomderivan73 😁...I'll just people watch and enjoy a rare show of optimism,joy,joy
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
"TheNiceBot: IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot #الخفجي",joy,joy
incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
"@len_snart Mick nods. 'I would like that.' He went back to his food, smiling as he finished it.",joy,joy
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy,joy
@hesham786 that's the spirit #optimism,joy,joy
@harrietemmett great minds think alike. ,joy,joy
"it gets better. without explanation; you just wake up one morning and you’re just happy, totally and utterly elated.",joy,joy
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,anger
Somebody who has braved the storm is brewing. #cheerful,joy,joy
A lifetime of laughter at the expense of the death of a bachelor,joy,joy
@Gronnhair @buryprofs @DittoBistro it was indeed lovely and the team were incredibly attentive and on the ball. Cheese was a lively gesture!,joy,joy
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz ,sadness,sadness
"@Virgin_TrainsEC I feel for the conductor tonight, he's obviously taken grief over the last few weeks, he sounds weary of apologising!",sadness,sadness
On bedrest since I got out of the hospital. U find in unopened beer.. what do I do. Pour that shit out! No alcohol at all for me #sober,sadness,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",sadness,joy
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
If you #invest in my new #film I will stop asking you to invest in my new film. #concessions #crime #despair #shortsightedness #celebrities,sadness,anger
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,joy
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
"A pessimist is someone who, when opportunity knocks, complains about the noise #mikeshumor",sadness,joy
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,joy
"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good.",sadness,joy
SOBRIETY®   trying to make being sober fashionable….can it be done ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #sober,sadness,joy
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,fear
"340:892 All with weary task fordone.\nNow the wasted brands do glow,\nWhilst the scritch-owl, scritching loud,\n#AMNDBots",sadness,sadness
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
